E_A#1 / keV,N_A#1,E_A#2 / keV,N_A#2,E_A#3 / keV,N_A#3,E_A#4 / keV,N_A#4,E_A#5 / keV,N_A#5,E_A#6 / keV,N_A#6,E_A#7 / keV,N_A#7,E_A#8 / keV,N_A#8
94.5,700,94.5,654,94.5,599,94.5,563,94.5,607,94.5,561,94.5,524,94.5,528
96.3,665,96.3,601,96.3,653,96.3,617,96.3,585,96.3,568,96.3,537,96.3,529
98.0,627,98.0,635,98.0,626,98.0,640,98.0,594,98.0,570,98.0,526,98.0,499
99.8,649,99.8,663,99.8,675,99.8,598,99.8,595,99.8,538,99.8,557,99.8,537
101.5,651,101.5,684,101.5,637,101.5,574,101.5,601,101.5,570,101.5,538,101.5,515
103.3,658,103.3,586,103.3,602,103.3,644,103.3,603,103.3,555,103.3,538,103.3,536
105.0,652,105.0,601,105.0,611,105.0,626,105.0,598,105.0,607,105.0,496,105.0,521
106.8,721,106.8,623,106.8,661,106.8,599,106.8,611,106.8,550,106.8,537,106.8,534
108.5,672,108.5,656,108.5,633,108.5,637,108.5,592,108.5,619,108.5,558,108.5,565
110.3,668,110.3,651,110.3,658,110.3,606,110.3,646,110.3,579,110.3,561,110.3,517
112.1,673,112.1,697,112.1,671,112.1,639,112.1,560,112.1,592,112.1,563,112.1,528
113.8,708,113.8,658,113.8,653,113.8,641,113.8,643,113.8,585,113.8,539,113.8,512
115.6,639,115.6,635,115.6,612,115.6,657,115.6,623,115.6,575,115.6,572,115.6,535
117.3,675,117.3,674,117.3,641,117.3,651,117.3,615,117.3,586,117.3,534,117.3,557
119.1,636,119.1,647,119.1,696,119.1,650,119.1,602,119.1,588,119.1,567,119.1,566
120.8,667,120.8,622,120.8,651,120.8,644,120.8,628,120.8,647,120.8,569,120.8,536
122.6,640,122.6,649,122.6,637,122.6,664,122.6,620,122.6,561,122.6,581,122.6,562
124.3,628,124.3,664,124.3,679,124.3,721,124.3,667,124.3,613,124.3,599,124.3,574
126.1,634,126.1,649,126.1,669,126.1,636,126.1,621,126.1,577,126.1,556,126.1,590
127.8,692,127.8,673,127.8,656,127.8,690,127.8,678,127.8,605,127.8,557,127.8,536
129.6,619,129.6,642,129.6,677,129.6,672,129.6,610,129.6,645,129.6,620,129.6,546
131.3,600,131.3,632,131.3,669,131.3,716,131.3,638,131.3,634,131.3,551,131.3,525
133.1,628,133.1,628,133.1,696,133.1,638,133.1,644,133.1,624,133.1,598,133.1,521
134.8,573,134.8,666,134.8,672,134.8,691,134.8,676,134.8,605,134.8,573,134.8,541
136.6,615,136.6,664,136.6,654,136.6,645,136.6,623,136.6,614,136.6,552,136.6,537
138.3,633,138.3,661,138.3,696,138.3,688,138.3,650,138.3,578,138.3,597,138.3,524
140.1,619,140.1,634,140.1,659,140.1,692,140.1,646,140.1,607,140.1,588,140.1,521
141.8,593,141.8,646,141.8,682,141.8,626,141.8,669,141.8,614,141.8,629,141.8,549
143.6,630,143.6,582,143.6,652,143.6,653,143.6,617,143.6,588,143.6,569,143.6,546
145.3,640,145.3,614,145.3,728,145.3,687,145.3,666,145.3,579,145.3,560,145.3,522
147.1,588,147.1,606,147.1,667,147.1,643,147.1,680,147.1,595,147.1,560,147.1,513
148.8,551,148.8,659,148.8,628,148.8,664,148.8,615,148.8,579,148.8,554,148.8,527
150.6,598,150.6,634,150.6,666,150.6,632,150.6,629,150.6,593,150.6,587,150.6,544
152.3,564,152.3,585,152.3,626,152.3,620,152.3,636,152.3,618,152.3,518,152.3,546
154.1,604,154.1,633,154.1,664,154.1,648,154.1,627,154.1,614,154.1,585,154.1,520
155.8,602,155.8,651,155.8,672,155.8,708,155.8,639,155.8,637,155.8,567,155.8,557
157.6,636,157.6,631,157.6,623,157.6,699,157.6,608,157.6,637,157.6,548,157.6,546
159.3,606,159.3,653,159.3,652,159.3,672,159.3,618,159.3,598,159.3,586,159.3,476
