E_A#1 / keV,N_A#1,E_A#2 / keV,N_A#2,E_A#3 / keV,N_A#3,E_A#4 / keV,N_A#4,E_A#5 / keV,N_A#5,E_A#6 / keV,N_A#6,E_A#7 / keV,N_A#7,E_A#8 / keV,N_A#8
465.6,273,465.6,198,465.6,113,465.6,86,465.6,71,465.6,55,465.6,27,465.6,27
467.4,258,467.4,186,467.4,124,467.4,86,467.4,69,467.4,39,467.4,34,467.4,34
469.1,240,469.1,179,469.1,128,469.1,74,469.1,66,469.1,46,469.1,38,469.1,30
470.9,245,470.9,162,470.9,128,470.9,93,470.9,56,470.9,41,470.9,29,470.9,27
472.6,229,472.6,181,472.6,91,472.6,85,472.6,49,472.6,48,472.6,26,472.6,33
474.4,219,474.4,166,474.4,119,474.4,81,474.4,66,474.4,48,474.4,31,474.4,19
476.1,205,476.1,169,476.1,129,476.1,73,476.1,43,476.1,44,476.1,28,476.1,23
477.9,201,477.9,143,477.9,109,477.9,61,477.9,52,477.9,49,477.9,21,477.9,30
479.6,188,479.6,158,479.6,99,479.6,78,479.6,56,479.6,38,479.6,33,479.6,18
481.4,191,481.4,136,481.4,102,481.4,61,481.4,54,481.4,36,481.4,31,481.4,29
483.1,163,483.1,143,483.1,102,483.1,77,483.1,62,483.1,49,483.1,24,483.1,18
484.9,158,484.9,118,484.9,99,484.9,70,484.9,51,484.9,41,484.9,38,484.9,29
486.6,162,486.6,115,486.6,104,486.6,58,486.6,50,486.6,25,486.6,24,486.6,26
488.4,129,488.4,106,488.4,59,488.4,69,488.4,46,488.4,36,488.4,33,488.4,19
490.1,154,490.1,130,490.1,106,490.1,61,490.1,57,490.1,37,490.1,18,490.1,25
491.9,151,491.9,125,491.9,89,491.9,63,491.9,52,491.9,37,491.9,21,491.9,28
493.6,131,493.6,116,493.6,102,493.6,61,493.6,38,493.6,40,493.6,33,493.6,23
495.4,147,495.4,112,495.4,90,495.4,75,495.4,56,495.4,39,495.4,38,495.4,35
497.1,130,497.1,103,497.1,76,497.1,57,497.1,42,497.1,44,497.1,29,497.1,18
498.9,108,498.9,105,498.9,89,498.9,63,498.9,45,498.9,31,498.9,21,498.9,16
500.6,131,500.6,106,500.6,107,500.6,52,500.6,48,500.6,30,500.6,29,500.6,21
502.4,125,502.4,103,502.4,87,502.4,64,502.4,41,502.4,36,502.4,37,502.4,25
504.1,117,504.1,112,504.1,85,504.1,50,504.1,43,504.1,29,504.1,28,504.1,27
505.9,99,505.9,113,505.9,81,505.9,73,505.9,56,505.9,35,505.9,25,505.9,29
507.6,130,507.6,110,507.6,64,507.6,53,507.6,38,507.6,36,507.6,25,507.6,18
509.4,109,509.4,94,509.4,87,509.4,54,509.4,35,509.4,43,509.4,28,509.4,22
511.1,104,511.1,89,511.1,85,511.1,51,511.1,51,511.1,47,511.1,26,511.1,21
512.9,98,512.9,102,512.9,98,512.9,56,512.9,49,512.9,35,512.9,16,512.9,21
514.6,97,514.6,99,514.6,94,514.6,63,514.6,44,514.6,39,514.6,34,514.6,21
516.4,102,516.4,121,516.4,78,516.4,62,516.4,46,516.4,29,516.4,33,516.4,19
518.1,94,518.1,100,518.1,73,518.1,66,518.1,39,518.1,37,518.1,22,518.1,20
519.9,91,519.9,100,519.9,88,519.9,57,519.9,33,519.9,48,519.9,43,519.9,22
521.6,95,521.6,106,521.6,73,521.6,48,521.6,46,521.6,28,521.6,30,521.6,35
523.4,87,523.4,86,523.4,74,523.4,47,523.4,41,523.4,31,523.4,32,523.4,22
525.1,78,525.1,89,525.1,65,525.1,58,525.1,49,525.1,31,525.1,23,525.1,17
526.9,91,526.9,89,526.9,74,526.9,58,526.9,33,526.9,26,526.9,28,526.9,27
528.6,87,528.6,102,528.6,82,528.6,56,528.6,51,528.6,33,528.6,21,528.6,20
530.4,100,530.4,86,530.4,67,530.4,73,530.4,40,530.4,33,530.4,25,530.4,24
532.1,77,532.1,91,532.1,65,532.1,64,532.1,43,532.1,31,532.1,22,532.1,24
533.9,85,533.9,87,533.9,77,533.9,55,533.9,40,533.9,22,533.9,33,533.9,31
535.6,80,535.6,83,535.6,73,535.6,52,535.6,63,535.6,28,535.6,31,535.6,25
537.4,76,537.4,83,537.4,78,537.4,54,537.4,49,537.4,36,537.4,26,537.4,16
539.1,85,539.1,97,539.1,56,539.1,43,539.1,52,539.1,42,539.1,26,539.1,31
540.9,75,540.9,84,540.9,74,540.9,65,540.9,48,540.9,26,540.9,20,540.9,12
542.6,92,542.6,83,542.6,61,542.6,62,542.6,28,542.6,33,542.6,29,542.6,21
544.4,66,544.4,79,544.4,84,544.4,61,544.4,46,544.4,43,544.4,39,544.4,28
546.1,71,546.1,78,546.1,74,546.1,62,546.1,43,546.1,28,546.1,33,546.1,22
547.9,72,547.9,70,547.9,63,547.9,48,547.9,43,547.9,38,547.9,29,547.9,26
549.6,63,549.6,64,549.6,69,549.6,49,549.6,54,549.6,36,549.6,40,549.6,22
551.4,58,551.4,73,551.4,63,551.4,55,551.4,55,551.4,35,551.4,24,551.4,19
553.1,78,553.1,71,553.1,76,553.1,62,553.1,33,553.1,28,553.1,27,553.1,20
554.9,73,554.9,79,554.9,76,554.9,48,554.9,34,554.9,36,554.9,27,554.9,16
556.6,51,556.6,81,556.6,73,556.6,43,556.6,41,556.6,27,556.6,29,556.6,16
558.4,69,558.4,82,558.4,56,558.4,55,558.4,50,558.4,37,558.4,45,558.4,24
560.1,61,560.1,69,560.1,64,560.1,59,560.1,49,560.1,26,560.1,26,560.1,25
561.9,76,561.9,77,561.9,72,561.9,63,561.9,41,561.9,28,561.9,36,561.9,26
563.6,60,563.6,84,563.6,61,563.6,45,563.6,42,563.6,44,563.6,20,563.6,16
565.4,66,565.4,87,565.4,59,565.4,49,565.4,38,565.4,36,565.4,21,565.4,20
567.1,50,567.1,82,567.1,74,567.1,56,567.1,41,567.1,25,567.1,21,567.1,23
568.9,57,568.9,82,568.9,60,568.9,43,568.9,46,568.9,40,568.9,39,568.9,25
570.6,48,570.6,84,570.6,53,570.6,44,570.6,47,570.6,38,570.6,32,570.6,25
572.4,65,572.4,88,572.4,72,572.4,61,572.4,43,572.4,38,572.4,38,572.4,25
574.1,59,574.1,56,574.1,69,574.1,60,574.1,37,574.1,24,574.1,28,574.1,25
575.9,43,575.9,74,575.9,66,575.9,59,575.9,38,575.9,23,575.9,29,575.9,29
577.6,64,577.6,64,577.6,71,577.6,62,577.6,41,577.6,44,577.6,23,577.6,19
579.4,68,579.4,61,579.4,67,579.4,58,579.4,36,579.4,16,579.4,29,579.4,14
581.1,60,581.1,60,581.1,82,581.1,60,581.1,42,581.1,34,581.1,28,581.1,19
582.9,66,582.9,83,582.9,68,582.9,59,582.9,39,582.9,29,582.9,31,582.9,23
584.6,59,584.6,68,584.6,50,584.6,40,584.6,42,584.6,30,584.6,30,584.6,37
586.4,66,586.4,70,586.4,55,586.4,49,586.4,50,586.4,28,586.4,18,586.4,23
588.1,52,588.1,89,588.1,65,588.1,58,588.1,43,588.1,31,588.1,32,588.1,16
589.9,60,589.9,76,589.9,64,589.9,43,589.9,50,589.9,42,589.9,18,589.9,21
591.6,55,591.6,70,591.6,56,591.6,65,591.6,47,591.6,27,591.6,36,591.6,27
593.4,55,593.4,67,593.4,59,593.4,55,593.4,51,593.4,30,593.4,25,593.4,22
595.1,53,595.1,67,595.1,68,595.1,57,595.1,45,595.1,37,595.1,19,595.1,35
596.9,59,596.9,56,596.9,79,596.9,54,596.9,40,596.9,25,596.9,36,596.9,29
598.6,50,598.6,70,598.6,61,598.6,48,598.6,43,598.6,38,598.6,26,598.6,30
600.4,49,600.4,76,600.4,56,600.4,58,600.4,36,600.4,44,600.4,30,600.4,26
602.1,64,602.1,73,602.1,75,602.1,55,602.1,55,602.1,37,602.1,30,602.1,31
603.9,64,603.9,67,603.9,64,603.9,56,603.9,48,603.9,50,603.9,31,603.9,27
605.6,68,605.6,70,605.6,76,605.6,51,605.6,47,605.6,29,605.6,32,605.6,23
607.4,69,607.4,95,607.4,88,607.4,67,607.4,43,607.4,38,607.4,28,607.4,24
609.1,81,609.1,88,609.1,88,609.1,55,609.1,43,609.1,48,609.1,28,609.1,22
610.9,64,610.9,80,610.9,79,610.9,48,610.9,39,610.9,42,610.9,23,610.9,19
612.7,108,612.7,94,612.7,87,612.7,52,612.7,44,612.7,28,612.7,26,612.7,35
614.4,102,614.4,91,614.4,76,614.4,71,614.4,58,614.4,51,614.4,28,614.4,20
616.2,112,616.2,107,616.2,94,616.2,72,616.2,45,616.2,37,616.2,24,616.2,29
617.9,156,617.9,112,617.9,98,617.9,68,617.9,53,617.9,52,617.9,29,617.9,18
619.7,167,619.7,118,619.7,92,619.7,66,619.7,69,619.7,34,619.7,30,619.7,27
621.4,164,621.4,140,621.4,119,621.4,80,621.4,58,621.4,39,621.4,32,621.4,27
623.2,238,623.2,179,623.2,115,623.2,83,623.2,46,623.2,38,623.2,27,623.2,25
624.9,262,624.9,166,624.9,147,624.9,80,624.9,74,624.9,39,624.9,31,624.9,23
626.7,291,626.7,189,626.7,155,626.7,81,626.7,80,626.7,40,626.7,22,626.7,31
628.4,321,628.4,221,628.4,164,628.4,105,628.4,68,628.4,59,628.4,43,628.4,24
630.2,406,630.2,249,630.2,169,630.2,118,630.2,85,630.2,45,630.2,36,630.2,35
631.9,440,631.9,289,631.9,167,631.9,118,631.9,82,631.9,41,631.9,30,631.9,32
633.7,526,633.7,318,633.7,218,633.7,134,633.7,75,633.7,57,633.7,37,633.7,26
635.4,575,635.4,372,635.4,237,635.4,141,635.4,105,635.4,63,635.4,44,635.4,38
637.2,633,637.2,417,637.2,278,637.2,171,637.2,114,637.2,62,637.2,46,637.2,30
638.9,689,638.9,426,638.9,254,638.9,174,638.9,105,638.9,78,638.9,56,638.9,40
640.7,814,640.7,529,640.7,307,640.7,185,640.7,111,640.7,83,640.7,48,640.7,33
642.4,912,642.4,508,642.4,359,642.4,215,642.4,135,642.4,59,642.4,47,642.4,28
644.2,974,644.2,632,644.2,327,644.2,239,644.2,145,644.2,83,644.2,64,644.2,41
645.9,1114,645.9,682,645.9,399,645.9,238,645.9,120,645.9,99,645.9,48,645.9,31
647.7,1144,647.7,696,647.7,393,647.7,275,647.7,130,647.7,106,647.7,65,647.7,32
649.4,1295,649.4,736,649.4,432,649.4,262,649.4,172,649.4,111,649.4,58,649.4,49
651.2,1317,651.2,763,651.2,497,651.2,285,651.2,161,651.2,106,651.2,70,651.2,55
652.9,1374,652.9,831,652.9,462,652.9,304,652.9,154,652.9,103,652.9,62,652.9,41
654.7,1556,654.7,842,654.7,500,654.7,329,654.7,173,654.7,114,654.7,68,654.7,35
656.4,1562,656.4,869,656.4,527,656.4,276,656.4,185,656.4,103,656.4,73,656.4,46
658.2,1502,658.2,923,658.2,503,658.2,277,658.2,194,658.2,113,658.2,75,658.2,46
659.9,1584,659.9,836,659.9,521,659.9,311,659.9,198,659.9,102,659.9,61,659.9,46
661.7,1690,661.7,963,661.7,560,661.7,319,661.7,167,661.7,102,661.7,81,661.7,58
663.4,1670,663.4,982,663.4,523,663.4,297,663.4,198,663.4,109,663.4,79,663.4,56
665.2,1591,665.2,961,665.2,538,665.2,319,665.2,186,665.2,123,665.2,79,665.2,46
666.9,1618,666.9,929,666.9,550,666.9,308,666.9,172,666.9,110,666.9,77,666.9,47
668.7,1588,668.7,885,668.7,494,668.7,291,668.7,184,668.7,100,668.7,70,668.7,42
670.4,1597,670.4,862,670.4,511,670.4,293,670.4,168,670.4,119,670.4,75,670.4,53
672.2,1482,672.2,841,672.2,467,672.2,247,672.2,178,672.2,121,672.2,52,672.2,36
673.9,1468,673.9,824,673.9,440,673.9,263,673.9,147,673.9,106,673.9,42,673.9,53
675.7,1424,675.7,754,675.7,448,675.7,242,675.7,164,675.7,108,675.7,53,675.7,35
677.4,1255,677.4,760,677.4,395,677.4,232,677.4,134,677.4,86,677.4,46,677.4,52
679.2,1188,679.2,668,679.2,357,679.2,231,679.2,135,679.2,97,679.2,39,679.2,35
680.9,1090,680.9,611,680.9,347,680.9,199,680.9,123,680.9,76,680.9,59,680.9,26
682.7,977,682.7,549,682.7,304,682.7,187,682.7,109,682.7,78,682.7,39,682.7,32
684.4,883,684.4,537,684.4,282,684.4,181,684.4,97,684.4,67,684.4,28,684.4,31
686.2,815,686.2,450,686.2,275,686.2,139,686.2,92,686.2,47,686.2,55,686.2,26
687.9,774,687.9,454,687.9,223,687.9,141,687.9,85,687.9,51,687.9,31,687.9,26
689.7,637,689.7,358,689.7,237,689.7,122,689.7,88,689.7,46,689.7,33,689.7,27
691.4,558,691.4,332,691.4,184,691.4,109,691.4,37,691.4,37,691.4,26,691.4,18
693.2,504,693.2,280,693.2,139,693.2,86,693.2,55,693.2,31,693.2,16,693.2,16
694.9,424,694.9,214,694.9,116,694.9,92,694.9,46,694.9,26,694.9,22,694.9,20
696.7,359,696.7,192,696.7,140,696.7,56,696.7,33,696.7,22,696.7,21,696.7,17
698.4,340,698.4,202,698.4,92,698.4,67,698.4,27,698.4,26,698.4,16,698.4,9
700.2,269,700.2,144,700.2,89,700.2,54,700.2,39,700.2,19,700.2,15,700.2,17
701.9,207,701.9,124,701.9,75,701.9,34,701.9,25,701.9,18,701.9,11,701.9,16
703.7,198,703.7,125,703.7,68,703.7,37,703.7,22,703.7,18,703.7,6,703.7,10
705.4,138,705.4,94,705.4,47,705.4,34,705.4,20,705.4,13,705.4,11,705.4,4
707.2,120,707.2,67,707.2,29,707.2,22,707.2,18,707.2,13,707.2,7,707.2,14
708.9,101,708.9,54,708.9,42,708.9,23,708.9,19,708.9,14,708.9,12,708.9,6
710.7,70,710.7,53,710.7,26,710.7,24,710.7,16,710.7,11,710.7,10,710.7,12
712.4,85,712.4,40,712.4,19,712.4,20,712.4,14,712.4,9,712.4,13,712.4,10
714.2,63,714.2,36,714.2,17,714.2,11,714.2,6,714.2,10,714.2,10,714.2,4
715.9,52,715.9,23,715.9,11,715.9,12,715.9,10,715.9,7,715.9,7,715.9,7
717.7,36,717.7,16,717.7,15,717.7,9,717.7,12,717.7,7,717.7,10,717.7,6
719.4,20,719.4,22,719.4,13,719.4,13,719.4,7,719.4,9,719.4,7,719.4,9
721.2,31,721.2,14,721.2,14,721.2,10,721.2,14,721.2,8,721.2,4,721.2,8
722.9,24,722.9,18,722.9,8,722.9,10,722.9,6,722.9,4,722.9,6,722.9,7
724.7,7,724.7,11,724.7,7,724.7,7,724.7,12,724.7,14,724.7,6,724.7,8
726.4,11,726.4,11,726.4,12,726.4,5,726.4,9,726.4,3,726.4,10,726.4,8
728.2,13,728.2,10,728.2,8,728.2,7,728.2,7,728.2,8,728.2,7,728.2,8
729.9,11,729.9,8,729.9,11,729.9,9,729.9,6,729.9,6,729.9,9,729.9,6
731.7,12,731.7,10,731.7,7,731.7,7,731.7,6,731.7,7,731.7,8,731.7,7
733.4,8,733.4,3,733.4,2,733.4,12,733.4,6,733.4,7,733.4,8,733.4,11
735.2,12,735.2,6,735.2,15,735.2,6,735.2,14,735.2,9,735.2,11,735.2,9
736.9,11,736.9,7,736.9,5,736.9,4,736.9,6,736.9,4,736.9,7,736.9,11
738.7,9,738.7,6,738.7,9,738.7,12,738.7,8,738.7,8,738.7,11,738.7,9
740.4,17,740.4,9,740.4,7,740.4,5,740.4,8,740.4,6,740.4,6,740.4,3
742.2,10,742.2,6,742.2,6,742.2,7,742.2,8,742.2,8,742.2,10,742.2,5
743.9,12,743.9,9,743.9,3,743.9,6,743.9,3,743.9,5,743.9,12,743.9,6
745.7,13,745.7,8,745.7,6,745.7,6,745.7,10,745.7,4,745.7,10,745.7,9
747.4,14,747.4,15,747.4,7,747.4,5,747.4,15,747.4,7,747.4,6,747.4,3
749.2,12,749.2,8,749.2,6,749.2,7,749.2,6,749.2,5,749.2,8,749.2,7
750.9,9,750.9,9,750.9,3,750.9,4,750.9,4,750.9,3,750.9,11,750.9,3
752.7,16,752.7,7,752.7,8,752.7,5,752.7,11,752.7,3,752.7,9,752.7,5
754.4,14,754.4,10,754.4,7,754.4,8,754.4,3,754.4,5,754.4,8,754.4,8
756.2,13,756.2,3,756.2,4,756.2,10,756.2,3,756.2,9,756.2,3,756.2,6
757.9,18,757.9,6,757.9,7,757.9,7,757.9,7,757.9,7,757.9,6,757.9,9
759.7,14,759.7,5,759.7,6,759.7,10,759.7,5,759.7,8,759.7,5,759.7,12
761.4,10,761.4,5,761.4,6,761.4,8,761.4,7,761.4,5,761.4,10,761.4,5
763.2,16,763.2,7,763.2,6,763.2,5,763.2,7,763.2,8,763.2,6,763.2,4
764.9,9,764.9,10,764.9,1,764.9,2,764.9,6,764.9,7,764.9,10,764.9,4
766.7,15,766.7,8,766.7,5,766.7,4,766.7,7,766.7,6,766.7,4,766.7,6
768.4,9,768.4,8,768.4,5,768.4,4,768.4,3,768.4,9,768.4,9,768.4,6
770.2,7,770.2,2,770.2,7,770.2,8,770.2,3,770.2,7,770.2,5,770.2,3
771.9,11,771.9,5,771.9,10,771.9,7,771.9,5,771.9,10,771.9,3,771.9,6
773.7,8,773.7,5,773.7,9,773.7,5,773.7,6,773.7,7,773.7,6,773.7,7
775.4,12,775.4,7,775.4,14,775.4,4,775.4,7,775.4,5,775.4,5,775.4,3
777.2,12,777.2,5,777.2,8,777.2,10,777.2,5,777.2,4,777.2,7,777.2,6
778.9,12,778.9,2,778.9,5,778.9,5,778.9,5,778.9,6,778.9,2,778.9,3
780.7,12,780.7,5,780.7,6,780.7,5,780.7,10,780.7,14,780.7,10,780.7,6
782.4,18,782.4,10,782.4,7,782.4,7,782.4,5,782.4,3,782.4,5,782.4,9
784.2,13,784.2,3,784.2,3,784.2,10,784.2,5,784.2,6,784.2,9,784.2,5
785.9,11,785.9,6,785.9,11,785.9,4,785.9,7,785.9,8,785.9,5,785.9,4
787.7,9,787.7,5,787.7,10,787.7,3,787.7,7,787.7,10,787.7,5,787.7,7
789.4,9,789.4,9,789.4,6,789.4,7,789.4,11,789.4,4,789.4,6,789.4,7
791.2,7,791.2,4,791.2,5,791.2,3,791.2,2,791.2,8,791.2,5,791.2,5
792.9,7,792.9,2,792.9,6,792.9,5,792.9,1,792.9,6,792.9,10,792.9,4
794.7,8,794.7,3,794.7,5,794.7,2,794.7,11,794.7,4,794.7,6,794.7,3
796.4,16,796.4,7,796.4,10,796.4,9,796.4,2,796.4,6,796.4,11,796.4,4
798.2,15,798.2,9,798.2,10,798.2,7,798.2,7,798.2,3,798.2,7,798.2,8
799.9,8,799.9,7,799.9,8,799.9,6,799.9,8,799.9,8,799.9,2,799.9,7
801.7,14,801.7,4,801.7,5,801.7,6,801.7,1,801.7,8,801.7,4,801.7,8
803.4,8,803.4,2,803.4,7,803.4,6,803.4,2,803.4,4,803.4,4,803.4,10
805.2,11,805.2,9,805.2,7,805.2,7,805.2,8,805.2,5,805.2,7,805.2,9
806.9,9,806.9,2,806.9,2,806.9,9,806.9,7,806.9,2,806.9,5,806.9,5
808.7,17,808.7,3,808.7,8,808.7,10,808.7,9,808.7,11,808.7,3,808.7,9
810.4,13,810.4,7,810.4,7,810.4,7,810.4,5,810.4,2,810.4,9,810.4,7
812.2,8,812.2,5,812.2,2,812.2,8,812.2,3,812.2,5,812.2,4,812.2,5
813.9,7,813.9,5,813.9,4,813.9,2,813.9,8,813.9,6,813.9,13,813.9,7
815.7,15,815.7,6,815.7,7,815.7,5,815.7,3,815.7,6,815.7,3,815.7,10
817.4,7,817.4,7,817.4,6,817.4,8,817.4,2,817.4,9,817.4,3,817.4,7
819.2,15,819.2,5,819.2,2,819.2,4,819.2,4,819.2,4,819.2,7,819.2,8
820.9,4,820.9,3,820.9,7,820.9,4,820.9,6,820.9,1,820.9,5,820.9,11
822.7,14,822.7,7,822.7,9,822.7,5,822.7,5,822.7,2,822.7,5,822.7,8
824.4,9,824.4,5,824.4,5,824.4,6,824.4,4,824.4,3,824.4,2,824.4,9
826.2,12,826.2,7,826.2,5,826.2,3,826.2,5,826.2,8,826.2,9,826.2,5
827.9,11,827.9,4,827.9,5,827.9,0,827.9,6,827.9,6,827.9,7,827.9,4
829.7,12,829.7,6,829.7,6,829.7,4,829.7,4,829.7,7,829.7,2,829.7,8
831.4,5,831.4,7,831.4,5,831.4,10,831.4,6,831.4,6,831.4,9,831.4,4
833.2,9,833.2,10,833.2,3,833.2,4,833.2,5,833.2,10,833.2,9,833.2,3
834.9,4,834.9,3,834.9,3,834.9,6,834.9,3,834.9,3,834.9,5,834.9,7
836.7,7,836.7,7,836.7,2,836.7,8,836.7,2,836.7,8,836.7,6,836.7,5
838.4,10,838.4,7,838.4,4,838.4,4,838.4,3,838.4,8,838.4,3,838.4,7
840.2,7,840.2,12,840.2,7,840.2,12,840.2,4,840.2,4,840.2,7,840.2,5
841.9,15,841.9,6,841.9,8,841.9,4,841.9,5,841.9,4,841.9,4,841.9,8
843.7,6,843.7,4,843.7,5,843.7,4,843.7,9,843.7,3,843.7,4,843.7,8
845.4,11,845.4,8,845.4,2,845.4,5,845.4,7,845.4,2,845.4,6,845.4,9
847.2,13,847.2,8,847.2,4,847.2,8,847.2,9,847.2,5,847.2,5,847.2,6
848.9,8,848.9,6,848.9,2,848.9,9,848.9,6,848.9,4,848.9,7,848.9,4
850.7,10,850.7,5,850.7,3,850.7,3,850.7,4,850.7,8,850.7,7,850.7,2
852.4,7,852.4,3,852.4,5,852.4,9,852.4,4,852.4,8,852.4,6,852.4,5
854.2,8,854.2,7,854.2,7,854.2,3,854.2,2,854.2,5,854.2,5,854.2,9
855.9,14,855.9,4,855.9,5,855.9,1,855.9,3,855.9,4,855.9,5,855.9,7
857.7,7,857.7,6,857.7,1,857.7,4,857.7,5,857.7,5,857.7,4,857.7,6
859.4,5,859.4,3,859.4,4,859.4,5,859.4,1,859.4,5,859.4,8,859.4,6
861.2,9,861.2,5,861.2,5,861.2,7,861.2,4,861.2,7,861.2,11,861.2,6
863.0,17,863.0,3,863.0,7,863.0,4,863.0,10,863.0,3,863.0,5,863.0,3
864.7,8,864.7,2,864.7,5,864.7,5,864.7,2,864.7,6,864.7,7,864.7,9
866.5,7,866.5,6,866.5,4,866.5,5,866.5,6,866.5,6,866.5,2,866.5,6
868.2,9,868.2,1,868.2,6,868.2,3,868.2,3,868.2,5,868.2,2,868.2,3
870.0,8,870.0,9,870.0,4,870.0,4,870.0,5,870.0,6,870.0,12,870.0,4
871.7,6,871.7,8,871.7,7,871.7,6,871.7,9,871.7,5,871.7,4,871.7,6
873.5,8,873.5,7,873.5,5,873.5,4,873.5,2,873.5,11,873.5,4,873.5,7
875.2,9,875.2,4,875.2,3,875.2,10,875.2,8,875.2,6,875.2,2,875.2,5
877.0,7,877.0,7,877.0,8,877.0,7,877.0,9,877.0,8,877.0,5,877.0,7
878.7,8,878.7,4,878.7,4,878.7,5,878.7,5,878.7,4,878.7,3,878.7,7
880.5,2350,880.5,1814,880.5,1742,880.5,1688,880.5,1722,880.5,1687,880.5,1684,880.5,1682
