E_A#1 / keV,N_A#1,E_A#2 / keV,N_A#2,E_A#3 / keV,N_A#3,E_A#4 / keV,N_A#4,E_A#5 / keV,N_A#5,E_A#6 / keV,N_A#6,E_A#7 / keV,N_A#7,E_A#8 / keV,N_A#8
94.5,667,94.5,493,94.5,378,94.5,366,94.5,363,94.5,350,94.5,327,94.5,291
96.3,691,96.3,489,96.3,427,96.3,378,96.3,337,96.3,327,96.3,319,96.3,340
98.0,728,98.0,495,98.0,424,98.0,400,98.0,349,98.0,314,98.0,326,98.0,301
99.8,671,99.8,497,99.8,407,99.8,388,99.8,334,99.8,329,99.8,309,99.8,289
101.5,668,101.5,439,101.5,427,101.5,393,101.5,356,101.5,343,101.5,298,101.5,307
103.3,666,103.3,482,103.3,370,103.3,363,103.3,324,103.3,327,103.3,321,103.3,293
105.0,699,105.0,479,105.0,382,105.0,343,105.0,337,105.0,314,105.0,311,105.0,282
106.8,677,106.8,458,106.8,409,106.8,378,106.8,373,106.8,285,106.8,301,106.8,335
108.5,621,108.5,472,108.5,402,108.5,386,108.5,352,108.5,305,108.5,318,108.5,330
110.3,678,110.3,458,110.3,403,110.3,323,110.3,364,110.3,303,110.3,285,110.3,287
112.1,624,112.1,465,112.1,385,112.1,356,112.1,355,112.1,304,112.1,324,112.1,311
113.8,626,113.8,459,113.8,428,113.8,383,113.8,335,113.8,301,113.8,297,113.8,292
115.6,668,115.6,457,115.6,368,115.6,365,115.6,337,115.6,320,115.6,349,115.6,291
117.3,664,117.3,469,117.3,380,117.3,350,117.3,341,117.3,315,117.3,301,117.3,292
119.1,667,119.1,478,119.1,379,119.1,342,119.1,329,119.1,313,119.1,282,119.1,272
120.8,716,120.8,465,120.8,380,120.8,363,120.8,324,120.8,281,120.8,320,120.8,296
122.6,646,122.6,491,122.6,385,122.6,337,122.6,351,122.6,321,122.6,286,122.6,295
124.3,661,124.3,412,124.3,385,124.3,374,124.3,318,124.3,317,124.3,253,124.3,272
126.1,669,126.1,430,126.1,372,126.1,342,126.1,334,126.1,273,126.1,268,126.1,308
127.8,645,127.8,417,127.8,391,127.8,350,127.8,310,127.8,303,127.8,274,127.8,284
129.6,641,129.6,429,129.6,369,129.6,371,129.6,325,129.6,334,129.6,261,129.6,271
131.3,648,131.3,447,131.3,384,131.3,360,131.3,296,131.3,286,131.3,258,131.3,268
133.1,623,133.1,407,133.1,382,133.1,334,133.1,287,133.1,304,133.1,269,133.1,253
134.8,661,134.8,469,134.8,382,134.8,332,134.8,299,134.8,321,134.8,274,134.8,279
136.6,606,136.6,431,136.6,337,136.6,315,136.6,299,136.6,305,136.6,280,136.6,256
138.3,597,138.3,416,138.3,344,138.3,348,138.3,302,138.3,258,138.3,287,138.3,291
140.1,609,140.1,400,140.1,345,140.1,309,140.1,305,140.1,274,140.1,269,140.1,250
141.8,643,141.8,454,141.8,369,141.8,307,141.8,305,141.8,286,141.8,266,141.8,267
143.6,613,143.6,414,143.6,367,143.6,333,143.6,294,143.6,282,143.6,275,143.6,262
145.3,579,145.3,402,145.3,332,145.3,325,145.3,289,145.3,259,145.3,224,145.3,231
147.1,630,147.1,389,147.1,353,147.1,307,147.1,270,147.1,274,147.1,258,147.1,253
148.8,592,148.8,436,148.8,317,148.8,330,148.8,268,148.8,280,148.8,263,148.8,229
150.6,593,150.6,418,150.6,351,150.6,283,150.6,259,150.6,232,150.6,236,150.6,237
152.3,655,152.3,402,152.3,341,152.3,295,152.3,267,152.3,244,152.3,254,152.3,237
154.1,601,154.1,430,154.1,367,154.1,304,154.1,264,154.1,257,154.1,228,154.1,205
155.8,607,155.8,429,155.8,351,155.8,312,155.8,253,155.8,241,155.8,258,155.8,229
157.6,557,157.6,405,157.6,335,157.6,280,157.6,279,157.6,256,157.6,207,157.6,226
159.3,609,159.3,401,159.3,328,159.3,310,159.3,260,159.3,276,159.3,236,159.3,223
161.1,594,161.1,378,161.1,316,161.1,301,161.1,301,161.1,245,161.1,194,161.1,254
162.8,623,162.8,396,162.8,360,162.8,317,162.8,265,162.8,220,162.8,215,162.8,204
164.6,602,164.6,376,164.6,317,164.6,276,164.6,247,164.6,231,164.6,218,164.6,248
166.3,574,166.3,441,166.3,334,166.3,307,166.3,255,166.3,231,166.3,216,166.3,207
168.1,617,168.1,437,168.1,318,168.1,265,168.1,255,168.1,237,168.1,220,168.1,212
169.8,632,169.8,416,169.8,286,169.8,279,169.8,236,169.8,238,169.8,192,169.8,188
171.6,629,171.6,391,171.6,322,171.6,270,171.6,233,171.6,249,171.6,245,171.6,218
173.3,622,173.3,413,173.3,322,173.3,293,173.3,276,173.3,254,173.3,230,173.3,190
175.1,616,175.1,428,175.1,361,175.1,267,175.1,268,175.1,262,175.1,203,175.1,221
176.8,583,176.8,394,176.8,340,176.8,283,176.8,258,176.8,233,176.8,197,176.8,210
178.6,662,178.6,373,178.6,365,178.6,299,178.6,271,178.6,230,178.6,255,178.6,223
180.3,707,180.3,401,180.3,370,180.3,317,180.3,263,180.3,231,180.3,231,180.3,215
182.1,751,182.1,447,182.1,344,182.1,333,182.1,290,182.1,231,182.1,238,182.1,224
183.8,757,183.8,429,183.8,375,183.8,283,183.8,274,183.8,249,183.8,238,183.8,249
185.6,724,185.6,474,185.6,392,185.6,326,185.6,278,185.6,259,185.6,220,185.6,247
187.3,775,187.3,486,187.3,381,187.3,301,187.3,298,187.3,275,187.3,232,187.3,219
189.1,800,189.1,489,189.1,374,189.1,335,189.1,269,189.1,242,189.1,227,189.1,229
190.8,792,190.8,475,190.8,400,190.8,303,190.8,310,190.8,244,190.8,238,190.8,203
192.6,872,192.6,425,192.6,375,192.6,326,192.6,282,192.6,269,192.6,224,192.6,207
194.3,933,194.3,483,194.3,374,194.3,322,194.3,270,194.3,241,194.3,257,194.3,200
196.1,795,196.1,470,196.1,378,196.1,337,196.1,264,196.1,269,196.1,241,196.1,209
197.8,815,197.8,478,197.8,328,197.8,311,197.8,301,197.8,240,197.8,230,197.8,234
199.6,807,199.6,475,199.6,365,199.6,302,199.6,279,199.6,255,199.6,228,199.6,195
201.3,814,201.3,435,201.3,332,201.3,305,201.3,240,201.3,236,201.3,208,201.3,200
203.1,770,203.1,433,203.1,341,203.1,242,203.1,248,203.1,194,203.1,204,203.1,191
204.8,712,204.8,426,204.8,318,204.8,265,204.8,221,204.8,209,204.8,196,204.8,171
206.6,708,206.6,408,206.6,309,206.6,266,206.6,200,206.6,214,206.6,182,206.6,182
208.3,709,208.3,396,208.3,315,208.3,252,208.3,200,208.3,188,208.3,184,208.3,157
210.1,708,210.1,405,210.1,241,210.1,234,210.1,201,210.1,189,210.1,157,210.1,140
211.8,634,211.8,369,211.8,262,211.8,246,211.8,182,211.8,169,211.8,156,211.8,150
213.6,640,213.6,386,213.6,272,213.6,227,213.6,207,213.6,185,213.6,180,213.6,167
215.3,619,215.3,380,215.3,301,215.3,230,215.3,199,215.3,156,215.3,156,215.3,142
217.1,629,217.1,358,217.1,299,217.1,248,217.1,181,217.1,170,217.1,152,217.1,145
218.8,630,218.8,319,218.8,294,218.8,212,218.8,183,218.8,182,218.8,155,218.8,131
220.6,586,220.6,359,220.6,242,220.6,202,220.6,183,220.6,174,220.6,128,220.6,129
222.3,571,222.3,337,222.3,270,222.3,215,222.3,175,222.3,152,222.3,140,222.3,121
224.1,585,224.1,354,224.1,265,224.1,188,224.1,152,224.1,153,224.1,125,224.1,156
225.8,567,225.8,323,225.8,250,225.8,181,225.8,132,225.8,132,225.8,141,225.8,132
227.6,555,227.6,329,227.6,245,227.6,189,227.6,164,227.6,151,227.6,143,227.6,128
229.3,529,229.3,333,229.3,253,229.3,214,229.3,147,229.3,145,229.3,133,229.3,140
231.1,545,231.1,316,231.1,240,231.1,188,231.1,143,231.1,125,231.1,132,231.1,144
232.8,522,232.8,304,232.8,277,232.8,197,232.8,180,232.8,123,232.8,119,232.8,140
234.6,526,234.6,323,234.6,237,234.6,190,234.6,162,234.6,140,234.6,141,234.6,106
236.3,548,236.3,308,236.3,252,236.3,187,236.3,168,236.3,123,236.3,116,236.3,139
