B#1 / mT,U_H#1 / mV,B#2 / mT,U_H#2 / mV,B#3 / mT,U_H#3 / mV,B#4 / mT,U_H#4 / mV
164.4,15.3,168.15,21.45,166.35,30.9,202.95,41.85
164.55,17.25,170.4,21.6,170.85,31.05,204.45,42.15
165.6,17.1,170.1,21.9,174.15,30.9,204.6,42
168.6,16.8,171.3,22.2,178.35,32.7,209.1,43.2
171.15,18.15,172.2,21.45,178.5,32.55,209.4,41.25
174.9,18.6,172.8,22.65,179.85,32.7,209.85,43.2
175.2,17.7,173.7,22.35,182.85,33.3,212.55,43.5
178.5,18.9,175.5,22.5,184.8,33.15,213.15,43.35
180.6,18.75,176.55,21.9,185.7,33.45,214.05,42.9
181.65,18.3,176.4,22.5,188.1,33.9,214.2,42.75
182.1,19.35,177.75,23.1,189.15,33.6,215.7,44.55
184.5,19.5,180.75,23.55,191.7,34.2,217.8,44.7
185.7,19.8,179.85,23.55,192.75,34.05,220.8,43.95
188.1,19.8,181.05,23.1,196.8,35.7,221.4,45.15
189.3,20.4,182.1,23.55,196.95,34.65,223.35,45.45
190.65,19.95,181.95,23.25,200.1,36.15,223.5,46.5
192,19.65,182.55,23.55,202.8,36,226.2,45.3
194.7,20.7,184.05,23.55,202.5,36.6,227.55,46.65
196.2,21,184.2,23.85,203.1,36.6,228.75,47.25
196.95,20.55,186.75,24.3,205.8,36.3,232.65,47.25
200.55,21,189,24.15,207.15,37.35,233.25,47.7
201.75,21,191.7,25.05,208.95,37.35,235.5,48
201.9,21.15,192.9,25.35,209.7,37.2,239.25,48.6
202.5,21.15,196.95,25.65,213.15,37.95,239.1,47.4
203.85,21.6,196.95,25.5,215.7,38.25,239.4,48.45
205.05,21,198.3,25.95,216.15,38.55,239.25,47.7
206.55,21.45,200.7,26.4,216.45,38.4,239.85,48.3
206.7,19.95,201.9,26.7,216.6,38.85,241.2,49.05
208.95,21.75,202.95,26.55,218.1,39.3,244.65,49.2
209.85,21.15,204.9,26.1,219.9,39,244.8,49.65
211.8,21.9,209.1,27.3,221.55,39.45,247.2,50.1
213.75,21,209.55,27.3,223.65,40.2,246.75,50.4
216.45,21.9,210.6,27.9,223.8,40.2,247.65,50.7
216.6,22.5,211.2,27.75,223.8,39.6,248.85,50.55
219.6,22.65,211.35,27.6,226.5,39.6,249,50.85
220.35,23.1,211.35,27.75,226.5,40.05,249.9,51.75
221.85,22.95,213.75,27.75,227.55,40.35,250.95,51.75
222.3,23.25,216.9,28.35,231.3,40.65,252.3,51.15
223.5,22.95,216.75,29.25,231.15,40.8,252.45,51.9
226.2,23.55,218.7,28.2,234.75,41.4,254.25,51.9
226.95,23.1,220.95,29.1,236.85,42.3,253.65,51.9
227.4,23.55,220.65,29.25,240.3,42.75,253.95,51.9
228,23.25,221.4,29.7,243.45,42.15,254.7,51.45
233.1,23.25,222.3,29.55,247.35,43.35,254.85,51.9
233.55,22.35,223.35,30,247.65,43.5,259.65,53.25
235.35,22.95,225.45,30.45,250.65,44.1,261.3,53.4
239.55,23.25,226.65,30.75,254.55,44.7,262.95,53.7
238.8,23.1,228.45,31.35,255.9,44.7,265.35,54.45
239.55,22.8,232.35,31.95,257.4,44.4,267.75,54.6
241.8,23.4,232.5,30.6,259.95,44.85,267.6,54.3
246.15,24.3,234,31.65,263.1,45.3,271.05,55.05
245.55,23.7,235.95,31.95,267.9,46.95,271.2,54.75
246.15,24,237.15,32.55,270.3,47.25,271.65,54.9
246.9,23.7,240.3,33,274.05,47.55,273.15,55.65
247.8,23.85,241.35,33.15,275.4,47.4,273.75,55.95
249,24,242.85,33.15,277.95,47.7,275.4,56.1
251.4,24.15,246.3,32.85,279.75,48.6,275.7,56.4
254.1,24.6,248.25,34.2,282.45,48.6,276.15,56.55
256.35,24.9,250.65,34.05,283.8,48.75,278.1,56.7
261.6,24.75,252.15,34.05,286.35,48.6,278.4,57.45
265.35,25.2,255,34.65,287.55,49.2,279.15,56.1
265.2,25.2,254.7,34.5,290.4,49.95,280.65,56.85
268.35,25.35,256.35,35.55,293.25,49.95,282.6,57.15
269.7,26.1,260.1,35.55,293.85,50.55,284.4,57.3
269.7,25.65,260.55,36.6,295.2,50.25,285.3,57.9
272.55,26.25,264.6,36.3,297.75,51,287.1,58.2
275.25,26.1,267.45,36.6,298.95,51.3,286.95,58.05
275.1,25.95,268.35,37.05,300.6,51,289.35,58.5
276,26.25,269.25,37.05,303.45,51.45,289.65,59.25
279.3,26.25,271.65,37.8,308.1,52.65,293.7,59.85
281.7,27.15,273,37.5,308.1,52.8,294.15,59.55
284.7,27,274.95,37.8,308.1,52.8,295.95,60
285.9,27.15,276.3,38.4,308.1,53.4,297.9,60.3
286.05,27.15,277.35,38.55,308.1,54,299.1,60.6
286.65,27.15,279.3,38.55,308.1,53.85,301.35,60.9
290.4,27.6,283.65,39,308.1,53.85,301.35,61.05
294.45,27.6,284.55,39,308.1,54.3,304.05,60.45
294.15,28.2,286.95,39.6,308.1,54.75,308.1,61.2
295.5,27.75,287.25,39.45,308.1,55.65,308.1,61.5
299.25,27.15,289.5,39.15,308.1,55.05,308.1,62.1
300.75,28.5,292.95,39.45,,,308.1,64.2
303.75,28.5,293.1,40.35,,,308.1,64.05
305.25,29.25,295.2,39.75,,,308.1,64.35
306.6,27.9,297.45,40.5,,,308.1,64.8
308.1,29.7,298.8,40.95,,,308.1,65.1
308.1,29.55,300.6,40.65,,,308.1,64.5
308.1,29.7,302.85,41.1,,,308.1,64.8
308.1,29.7,303.9,41.4,,,308.1,64.95
308.1,29.4,304.05,41.25,,,308.1,64.35
308.1,30.75,305.7,41.85,,,308.1,64.8
308.1,30.45,308.1,42.3,,,308.1,64.65
308.1,31.05,308.1,42.15,,,308.1,64.5
308.1,30.15,308.1,42.45,,,308.1,64.05
308.1,30.75,308.1,42.6,,,,
308.1,30.15,308.1,42.9,,,,
308.1,31.05,308.1,43.2,,,,
308.1,29.85,308.1,43.8,,,,
308.1,29.7,308.1,43.95,,,,
308.1,30.15,308.1,43.95,,,,
308.1,30.9,308.1,43.95,,,,
308.1,30,308.1,43.65,,,,
308.1,29.85,308.1,44.7,,,,
308.1,31.05,308.1,45,,,,
308.1,30.3,308.1,45,,,,
308.1,30.75,,,,,,
