x,lum_5000_mA,lum_5500_mA,lum_6000_mA,lum_6500_mA,lum_7000_mA,lum_7500_mA
3.642073E1,1.244201E2,1.260277E2,1.336157E2,1.337350E2,1.325541E2,1.328494E2
3.542073E1,1.239216E2,1.255710E2,1.333964E2,1.315974E2,1.330436E2,1.297834E2
3.442073E1,1.239127E2,1.251061E2,1.337612E2,1.311226E2,1.321733E2,1.305322E2
3.342073E1,1.223756E2,1.255665E2,1.335855E2,1.332821E2,1.324953E2,1.319189E2
3.242073E1,1.227056E2,1.266485E2,1.328665E2,1.365103E2,1.346271E2,1.330662E2
3.142073E1,1.228465E2,1.264631E2,1.328075E2,1.394620E2,1.376055E2,1.358597E2
3.042073E1,1.212354E2,1.261700E2,1.347415E2,1.420802E2,1.416519E2,1.406004E2
2.942073E1,1.207813E2,1.281786E2,1.396843E2,1.462796E2,1.472110E2,1.468068E2
2.842073E1,1.269854E2,1.338824E2,1.472925E2,1.527526E2,1.538197E2,1.528865E2
2.742073E1,1.372607E2,1.407477E2,1.542016E2,1.589959E2,1.591891E2,1.576716E2
2.642073E1,1.446615E2,1.474064E2,1.582182E2,1.617485E2,1.609158E2,1.567237E2
2.542073E1,1.493358E2,1.522536E2,1.596777E2,1.624795E2,1.593754E2,1.530427E2
2.442073E1,1.523345E2,1.548125E2,1.589093E2,1.607396E2,1.570645E2,1.505295E2
2.342073E1,1.535967E2,1.556534E2,1.575528E2,1.561535E2,1.553380E2,1.496369E2
2.242073E1,1.523130E2,1.544173E2,1.571661E2,1.536828E2,1.559866E2,1.517485E2
2.142073E1,1.514327E2,1.536209E2,1.588579E2,1.577830E2,1.592228E2,1.561070E2
2.042073E1,1.540549E2,1.554128E2,1.626927E2,1.658563E2,1.637374E2,1.606244E2
1.942073E1,1.582865E2,1.589142E2,1.665292E2,1.715998E2,1.676061E2,1.636974E2
1.842073E1,1.621251E2,1.618411E2,1.677280E2,1.727059E2,1.679908E2,1.660420E2
1.742073E1,1.616779E2,1.626121E2,1.671276E2,1.716445E2,1.661634E2,1.649386E2
1.642073E1,1.590070E2,1.615569E2,1.661239E2,1.694218E2,1.647592E2,1.609125E2
1.542073E1,1.582907E2,1.610238E2,1.665628E2,1.679301E2,1.641342E2,1.598197E2
1.442073E1,1.610583E2,1.621904E2,1.693905E2,1.688660E2,1.654414E2,1.635623E2
1.342073E1,1.652427E2,1.651569E2,1.731724E2,1.719160E2,1.689342E2,1.698048E2
1.242073E1,1.685354E2,1.691230E2,1.763728E2,1.758286E2,1.737027E2,1.747862E2
1.142073E1,1.702619E2,1.723662E2,1.779970E2,1.782743E2,1.776965E2,1.769144E2
1.042073E1,1.667209E2,1.713032E2,1.742967E2,1.775165E2,1.785575E2,1.763008E2
9.420733E0,1.586763E2,1.659399E2,1.678512E2,1.730935E2,1.755135E2,1.696664E2
8.420733E0,1.489096E2,1.593430E2,1.601896E2,1.642415E2,1.678456E2,1.597376E2
7.420733E0,1.417399E2,1.524205E2,1.522988E2,1.556920E2,1.591602E2,1.498175E2
6.420733E0,1.377311E2,1.473854E2,1.475102E2,1.504589E2,1.526723E2,1.438025E2
5.420733E0,1.338401E2,1.436445E2,1.446077E2,1.473357E2,1.478070E2,1.413123E2
4.420733E0,1.302850E2,1.400832E2,1.412866E2,1.440515E2,1.437548E2,1.403471E2
3.420733E0,1.288999E2,1.366407E2,1.376632E2,1.407579E2,1.406170E2,1.395537E2
2.420733E0,1.276623E2,1.352490E2,1.357191E2,1.386671E2,1.381870E2,1.385732E2
1.420733E0,1.273630E2,1.340214E2,1.353898E2,1.379644E2,1.371363E2,1.402275E2
4.207329E-1,1.267735E2,1.325342E2,1.367449E2,1.386828E2,1.374296E2,1.416889E2
