I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;
15.65;0.9;;17.7;1.45;;20;2;;13;1.35;;14.8;1.7;;15.15;1.9;;12.1;1.3;;11.85;1.35;;17.55;2.5;
15.75;0.9;;17.85;1.4;;20.25;2.15;;13.15;1.35;;14.9;1.7;;15.3;1.85;;12.2;1.35;;11.95;1.35;;17.8;2.5;
15.9;0.85;;17.95;1.35;;20.5;2.1;;13.3;1.35;;15.05;1.75;;15.6;1.9;;12.3;1.35;;12.2;1.4;;17.95;2.6;
16.1;0.85;;18.05;1.4;;20.8;2.1;;13.55;1.4;;15.25;1.75;;15.9;1.95;;12.3;1.4;;12.4;1.55;;18.15;2.65;
16.35;0.85;;18.1;1.4;;21.1;2.1;;13.7;1.45;;15.6;1.8;;16.2;2;;12.55;1.4;;12.55;1.4;;18.45;2.7;
16.4;0.95;;18.15;1.35;;21.4;2.1;;13.8;1.45;;15.8;1.85;;16.4;2.05;;12.8;1.4;;12.8;1.5;;18.65;2.85;
16.45;0.9;;18.35;1.4;;21.75;2.05;;13.95;1.5;;16.05;1.9;;16.65;2.1;;13;1.55;;13;1.55;;18.9;2.9;
16.6;0.9;;18.55;1.4;;22;2.1;;14.2;1.5;;16.3;1.9;;16.85;2.15;;13.15;1.55;;13.25;1.6;;19.15;2.9;
16.8;0.85;;18.65;1.4;;22.25;2.2;;14.3;1.5;;16.55;1.95;;17.05;2.15;;13.25;1.55;;13.3;1.65;;19.6;2.9;
16.9;0.9;;18.8;1.4;;22.55;2.15;;14.4;1.55;;16.65;2;;17.2;2.25;;13.3;1.55;;13.5;1.65;;20.15;3.05;
17.15;0.9;;19;1.4;;22.8;2.2;;14.5;1.55;;16.8;2.05;;17.3;2.25;;13.6;1.6;;13.75;1.7;;20.55;3.2;
17.25;0.85;;19.15;1.4;;23.1;2.15;;14.65;1.55;;16.95;2.05;;17.45;2.25;;13.8;1.65;;13.85;1.65;;20.8;3.3;
17.35;0.9;;19.4;1.4;;23.6;2.15;;14.8;1.6;;17.15;2.15;;17.75;2.3;;13.8;1.65;;14.25;1.75;;21;3.35;
17.4;0.95;;19.65;1.35;;24.15;2.15;;15;1.6;;17.3;2.15;;18;2.35;;13.9;1.7;;14.5;1.85;;21.35;3.4;
17.5;0.9;;19.8;1.4;;24.65;2.1;;15.1;1.6;;17.3;2.15;;18.15;2.35;;13.95;1.7;;14.55;1.85;;21.65;3.45;
17.65;0.9;;19.8;1.4;;25.05;2.15;;15.2;1.65;;17.35;2.15;;18.2;2.45;;14.2;1.65;;14.6;1.85;;21.95;3.55;
17.75;0.85;;19.85;1.4;;25.45;2.15;;15.25;1.7;;17.5;2.15;;18.4;2.5;;14.55;1.8;;14.65;1.9;;22.45;3.65;
17.85;0.85;;20;1.4;;25.8;2.15;;15.3;1.7;;17.6;2.25;;18.7;2.55;;14.7;1.85;;14.75;1.9;;22.85;3.75;
17.9;0.85;;20.2;1.4;;26.25;2.2;;15.45;1.7;;17.7;2.2;;18.85;2.55;;14.75;1.8;;14.9;1.9;;23;3.8;
18;0.9;;20.4;1.4;;26.65;2.15;;15.55;1.7;;17.8;2.25;;19.05;2.6;;14.9;1.85;;15.05;1.95;;23.25;3.85;
18.15;0.9;;20.55;1.4;;27;2.15;;15.65;1.75;;17.95;2.3;;19.2;2.6;;15.3;1.9;;15.1;1.95;;23.7;3.95;
18.2;0.9;;20.75;1.4;;27.5;2.2;;15.75;1.7;;18.15;2.3;;19.45;2.6;;15.35;1.95;;15.15;2;;24.05;4.1;
18.3;0.9;;21;1.4;;27.95;2.2;;15.95;1.8;;18.3;2.3;;19.55;2.7;;15.35;1.95;;15.2;2;;24.45;4.1;
18.35;0.95;;21.15;1.35;;28.45;2.2;;16.05;1.8;;18.7;2.35;;19.75;2.75;;15.6;2;;15.4;2;;25;4.25;
18.45;0.9;;21.35;1.4;;28.85;2.2;;16.1;1.8;;18.8;2.4;;19.85;2.75;;15.75;2.05;;15.45;2.05;;25.6;4.4;
18.55;0.9;;21.5;1.35;;29.2;2.2;;16.1;1.85;;19.05;2.45;;20.1;2.8;;15.75;2.05;;15.6;2.1;;26.1;4.6;
18.65;0.9;;21.7;1.4;;29.55;2.2;;16.2;1.8;;19.2;2.45;;20.3;2.85;;15.85;2.05;;15.75;2.1;;26.5;4.7;
18.7;0.9;;21.9;1.4;;29.9;2.15;;16.25;1.85;;19.35;2.5;;20.55;2.9;;16.05;2.1;;15.9;2.2;;26.95;4.8;
18.75;0.9;;22;1.4;;30.35;2.2;;16.4;1.85;;19.55;2.6;;20.75;2.9;;16.15;2.15;;16.05;2.15;;27.4;4.95;
18.85;0.85;;22.1;1.4;;30.65;2.15;;16.6;1.8;;19.65;2.55;;20.9;2.95;;16.3;2.15;;16.15;2.25;;27.85;5;
18.95;0.85;;22.25;1.45;;31;2.2;;16.75;1.9;;19.75;2.6;;20.95;3;;16.55;2.15;;16.25;2.25;;28.4;5.15;
19.1;0.9;;22.6;1.45;;31.25;2.2;;16.85;1.95;;20;2.6;;21.1;3;;16.75;2.2;;16.25;2.25;;28.85;5.3;
19.25;0.9;;22.8;1.4;;31.4;2.2;;16.85;1.95;;20.1;2.6;;21.15;3;;16.85;2.3;;16.35;2.25;;29.2;5.4;
19.35;0.9;;23.05;1.4;;31.65;2.2;;17.15;1.95;;20.25;2.65;;21.3;3.05;;16.95;2.3;;16.5;2.25;;29.55;5.55;
19.5;0.9;;23.2;1.4;;31.75;2.15;;17.25;1.95;;20.35;2.7;;21.45;3.1;;17.2;2.3;;16.7;2.3;;30;5.65;
19.65;0.9;;23.35;1.45;;32.15;2.2;;17.3;2;;20.5;2.7;;21.45;3.1;;17.25;2.35;;16.85;2.35;;30.3;5.75;
19.8;0.85;;23.55;1.45;;32.55;2.2;;17.4;2;;20.65;2.75;;21.5;3.1;;17.35;2.35;;16.95;2.35;;30.6;5.9;
19.9;0.85;;23.75;1.4;;32.75;2.2;;17.5;2.05;;20.75;2.75;;21.6;3.05;;17.45;2.4;;17.15;2.45;;30.95;5.9;
19.95;0.85;;23.95;1.4;;32.95;2.15;;17.6;2.05;;20.95;2.8;;21.65;3.2;;17.5;2.4;;17.35;2.45;;31.25;6;
20.15;0.9;;24.1;1.4;;33.15;2.2;;17.65;2;;21.05;2.8;;21.65;3.15;;17.65;2.4;;17.55;2.45;;31.55;6.05;
20.4;0.95;;24.4;1.4;;33.3;2.2;;17.8;2.1;;21.25;2.85;;21.8;3.15;;17.7;2.45;;17.55;2.45;;31.95;6.2;
20.5;0.9;;24.6;1.35;;33.5;2.2;;17.95;2.15;;21.35;2.85;;21.9;3.25;;17.8;2.45;;17.65;2.5;;32.3;6.3;
20.6;0.9;;24.75;1.45;;33.7;2.15;;18.1;2.1;;21.45;2.9;;22;3.2;;17.8;2.45;;17.7;2.5;;32.65;6.4;
20.75;0.85;;24.85;1.4;;34;2.15;;18.25;2.15;;21.6;2.9;;22.05;3.2;;17.95;2.5;;17.75;2.55;;33.05;6.5;
20.85;0.85;;25;1.45;;34.45;2.2;;18.4;2.2;;21.85;3;;22.1;3.2;;18.05;2.5;;17.95;2.6;;33.5;6.6;
20.95;0.85;;25.25;1.45;;34.75;2.15;;18.5;2.2;;22;2.95;;22.2;3.25;;18.1;2.55;;18.15;2.6;;33.9;6.75;
21.05;0.9;;25.45;1.45;;34.95;2.2;;18.55;2.2;;22.1;3.05;;22.3;3.25;;18.2;2.55;;18.25;2.65;;34.2;6.85;
21.25;0.9;;25.75;1.45;;35.15;2.2;;18.6;2.2;;22.25;3.1;;22.4;3.25;;18.35;2.55;;18.3;2.65;;34.5;6.9;
21.4;0.85;;25.95;1.5;;35.25;2.2;;18.75;2.25;;22.35;3.05;;22.5;3.3;;18.45;2.6;;18.55;2.7;;35.1;7.05;
21.55;0.85;;26.15;1.45;;35.45;2.2;;18.85;2.3;;22.55;3.1;;22.6;3.3;;18.75;2.65;;18.8;2.75;;35.45;7.2;
21.65;0.95;;26.3;1.45;;35.7;2.2;;18.9;2.25;;22.75;3.1;;22.65;3.35;;18.85;2.65;;18.9;2.8;;35.85;7.3;
21.75;0.9;;26.45;1.5;;35.95;2.2;;19.1;2.3;;22.95;3.1;;22.7;3.4;;18.9;2.7;;19.1;2.9;;36.4;7.5;
21.85;0.9;;26.65;1.45;;36.1;2.2;;19.25;2.3;;23.15;3.2;;22.8;3.35;;19.25;2.7;;19.25;2.85;;36.85;7.6;
22;0.9;;26.75;1.4;;36.35;2.25;;19.35;2.3;;23.3;3.2;;22.95;3.4;;19.45;2.8;;19.2;2.9;;37.4;7.8;
22.1;0.85;;26.95;1.5;;36.55;2.25;;19.5;2.35;;23.5;3.25;;23.15;3.45;;19.55;2.85;;19.3;2.9;;37.7;7.9;
22.2;0.9;;27.15;1.45;;36.8;2.25;;19.7;2.4;;23.6;3.25;;23.3;3.45;;19.65;2.85;;19.4;2.95;;38.25;8.1;
22.3;0.9;;27.3;1.45;;37.05;2.25;;19.8;2.45;;23.65;3.3;;23.4;3.55;;19.8;2.9;;19.55;2.9;;39;8.2;
22.35;0.9;;27.55;1.45;;37.25;2.25;;19.9;2.4;;23.7;3.3;;23.5;3.5;;20.05;2.9;;19.7;2.95;;39.45;8.35;
22.4;0.9;;27.65;1.45;;37.5;2.25;;20;2.45;;23.75;3.3;;23.65;3.55;;20.2;2.9;;19.8;3;;39.95;8.5;
22.45;0.9;;27.9;1.45;;37.7;2.25;;20.05;2.45;;23.85;3.35;;23.75;3.6;;20.6;3;;19.95;3;;40.35;8.7;
22.6;0.9;;28.05;1.45;;37.8;2.25;;20.2;2.45;;24.05;3.35;;23.9;3.55;;20.85;3.1;;20;3.05;;40.85;8.8;
22.75;0.9;;28.15;1.45;;38.05;2.2;;20.3;2.55;;24.3;3.4;;23.95;3.6;;21;3.15;;20.05;3;;41.3;8.95;
22.8;0.9;;28.3;1.45;;38.3;2.25;;20.45;2.5;;24.5;3.45;;24.1;3.65;;21.05;3.15;;20.15;3.1;;41.65;9.15;
23;0.9;;28.5;1.45;;38.65;2.25;;20.65;2.45;;24.6;3.45;;24.25;3.7;;21.2;3.2;;20.25;3.1;;41.95;9.2;
23.15;0.9;;28.7;1.45;;39;2.3;;20.85;2.6;;24.65;3.45;;24.4;3.7;;21.45;3.2;;20.45;3.15;;42.4;9.35;
23.2;0.9;;28.85;1.4;;39.25;2.2;;20.85;2.55;;24.75;3.45;;24.55;3.7;;21.75;3.3;;20.65;3.15;;43.1;9.45;
23.35;0.9;;29;1.45;;39.45;2.25;;21;2.5;;24.8;3.5;;24.7;3.75;;21.9;3.35;;20.8;3.2;;43.75;9.65;
23.55;0.9;;29.1;1.45;;39.65;2.25;;21.15;2.6;;24.95;3.5;;25;3.8;;22.25;3.45;;21;3.25;;44.3;9.9;
